time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767523500000,3755,11,915926,915926,915927,1,0.902959,11.8275,0.49256,0.463571,0.0289881,1,13.7487,13.7487,0,0,1,exec_skip,exec_skip,1000,0.05
1767524400000,3755,12,915952,915952,915953,1,-0.512583,4.7916e-07,0.494048,0.463571,0.0304762,1,37.5719,37.5719,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767525300000,3743,12,913544,913544,913545,1,0.421533,3.23775,0.495536,0.465286,0.03025,1,38.7708,38.7708,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767526200000,3731,12,913767,913767,913768,1,-0.208847,0.000803755,0.497024,0.467,0.0300238,1,35.4593,35.4593,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767527100000,3719,12,913727,913727,913728,1,-0.160896,3.51262e-05,0.498512,0.468714,0.0297976,1,34.7632,34.7632,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767528000000,3707,11,913039,913039,913040,1,-0.475261,0.00879169,0.5,0.470429,0.0295714,1,36.3993,36.3993,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767528900000,3696,11,912536,912536,912537,1,0.492958,0.000402119,0.501488,0.472,0.0294881,1,29.8755,29.8755,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767529800000,3685,11,913330,913330,913331,1,0.0744308,1.60779e-11,0.502976,0.473571,0.0294048,1,31.8226,31.8226,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767530700000,3674,11,910960,910960,910961,1,-0.820498,4.91091,0.504464,0.475143,0.0293214,1,49.8787,49.8787,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767531600000,3663,11,911428,911428,911429,1,-0.654078,0.044511,0.505952,0.476714,0.0292381,1,33.259,33.259,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767532500000,3652,11,911876,911876,911877,1,-0.12185,6.61089e-05,0.50744,0.478286,0.0291548,1,29.0887,29.0887,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767533400000,3641,11,911911,911911,911912,1,0.454545,0.00653452,0.508929,0.479857,0.0290714,1,25.32,25.32,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767534300000,3630,11,912207,912207,912208,1,-0.0856439,1.77796e-05,0.510417,0.481429,0.0289881,1,28.261,28.261,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767535200000,3619,11,912631,912631,912632,1,0.312561,0.606789,0.511905,0.483,0.0289048,1,25.015,25.015,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767536100000,3608,11,913888,913888,913889,1,-0.524096,0.00181291,0.513393,0.484571,0.0288214,1,30.3695,30.3695,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767537000000,3597,11,912297,912297,912298,1,0.0832184,0.0137049,0.514881,0.486143,0.0287381,1,27.0107,27.0107,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767537900000,3586,11,912067,912067,912068,1,0.0526316,0.0114757,0.516369,0.487714,0.0286548,1,26.8947,26.8947,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767538800000,3575,11,913382,913382,913383,1,0.393064,0.0594417,0.517857,0.489286,0.0285714,1,24.3845,24.3845,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
