time,bid,ask,mid,spread,microprice,bid_depth,ask_depth,imbalance,mm_bid_queue,mm_ask_queue
1767741190797,934914,934915,934914,1,934914,547,682,-0.109845,-1,-1
1767741202797,934827,934828,934827,1,934828,1270,256,0.664482,-1,-1
1767741214798,934857,934858,934857,1,934858,988,564,0.273196,-1,-1
1767741226997,934857,934858,934857,1,934858,915,388,0.404451,-1,-1
1767741238997,934910,934911,934910,1,934911,1025,673,0.207303,-1,-1
1767741250997,934861,934862,934861,1,934861,710,1216,-0.262721,-1,-1
1767741262998,934861,934862,934861,1,934861,625,1011,-0.235941,-1,-1
1767741274997,934861,934862,934861,1,934861,406,1044,-0.44,-1,-1
1767741286998,934891,934892,934891,1,934892,1393,854,0.239875,-1,-1
1767741298998,934890,934891,934890,1,934890,779,1125,-0.181723,-1,-1
1767741310998,935211,935212,935211,1,935212,1538,279,0.6929,-1,-1
1767741322997,935281,935282,935281,1,935282,1459,533,0.464859,-1,-1
1767741334997,935411,935412,935411,1,935412,1114,714,0.218818,-1,-1
1767741347397,935431,935432,935431,1,935432,1318,407,0.528116,-1,-1
1767741359397,935574,935575,935574,1,935574,571,1479,-0.442927,-1,-1
1767741371397,935574,935575,935574,1,935574,587,956,-0.239145,-1,-1
1767741383397,935234,935235,935234,1,935234,554,1085,-0.323978,-1,-1
1767741395397,934992,934993,934992,1,934993,1371,654,0.354074,-1,-1
1767741407398,934919,934920,934919,1,934919,506,1472,-0.488372,-1,-1
1767741419398,934919,934920,934919,1,934920,1534,468,0.532468,-1,-1
1767741431397,934951,934952,934951,1,934951,168,1301,-0.771273,-1,-1
1767741443397,934515,934516,934515,1,934515,589,1338,-0.388687,-1,-1
1767741455398,934515,934516,934515,1,934515,271,988,-0.5695,-1,-1
1767741467398,935222,935223,935222,1,935223,1051,722,0.185561,-1,-1
1767741479598,935222,935223,935222,1,935223,1220,467,0.446354,-1,-1
1767741491597,935026,935027,935026,1,935027,891,581,0.210598,-1,-1
1767741503597,935026,935027,935026,1,935026,857,950,-0.0514665,-1,-1
1767741515597,934863,934864,934863,1,934863,1083,1106,-0.0105071,-1,-1
1767741527598,934656,934657,934656,1,934656,958,1846,-0.31669,-1,-1
1767741539797,934718,934719,934718,1,934719,1689,629,0.457291,-1,-1
1767741551997,935025,935026,935025,1,935026,2177,439,0.664373,-1,-1
1767741564197,935332,935333,935332,1,935332,971,2590,-0.454648,-1,-1
1767741576197,934867,934868,934867,1,934867,691,1583,-0.39226,-1,-1
1767741588198,935108,935109,935108,1,935108,443,1049,-0.406166,-1,-1
1767741600197,935054,935055,935054,1,935055,776,390,0.331046,-1,-1
1767741612198,935220,935221,935220,1,935220,1076,1230,-0.0667823,-1,-1
1767741624197,935146,935147,935146,1,935146,496,1293,-0.4455,-1,-1
1767741636198,935233,935234,935233,1,935234,1569,210,0.763912,-1,-1
1767741648197,935351,935352,935351,1,935352,1590,326,0.659708,-1,-1
1767741660597,935065,935066,935065,1,935066,2563,301,0.789804,-1,-1
1767741672598,935065,935066,935065,1,935066,1844,775,0.408171,-1,-1
1767741684597,935091,935092,935091,1,935092,2947,379,0.772099,-1,-1
1767741696597,935140,935141,935140,1,935141,1182,488,0.415569,-1,-1
1767741708598,935337,935338,935337,1,935338,1186,815,0.185407,-1,-1
1767741720797,935180,935181,935180,1,935180,805,1370,-0.25977,-1,-1
1767741732797,934703,934704,934703,1,934703,419,1902,-0.638949,-1,-1
1767741744797,934480,934481,934480,1,934481,842,569,0.19348,-1,-1
1767741756798,934320,934321,934320,1,934320,79,2083,-0.92692,-1,-1
1767741768798,934320,934321,934320,1,934320,514,835,-0.237954,-1,-1
1767741780797,934320,934321,934320,1,934320,550,993,-0.287103,-1,-1
1767741792997,934259,934260,934259,1,934259,430,1244,-0.48626,-1,-1
1767741804997,934234,934235,934234,1,934235,1474,418,0.55814,-1,-1
1767741816998,934234,934235,934234,1,934235,1196,479,0.42806,-1,-1
1767741828997,934466,934467,934466,1,934466,590,625,-0.0288066,-1,-1
1767741840998,934466,934467,934466,1,934467,734,236,0.513402,-1,-1
1767741852997,934460,934461,934460,1,934461,799,781,0.0113924,-1,-1
1767741864997,934434,934435,934434,1,934434,159,1915,-0.846673,-1,-1
1767741876997,934434,934435,934434,1,934434,278,1568,-0.698808,-1,-1
1767741888998,934348,934349,934348,1,934349,1364,1125,0.0960225,-1,-1
1767741901197,934286,934287,934286,1,934287,1800,465,0.589404,-1,-1
1767741913198,934370,934371,934370,1,934370,412,1129,-0.465282,-1,-1
1767741925397,934183,934184,934183,1,934183,407,1116,-0.465529,-1,-1
1767741937398,934140,934141,934140,1,934140,269,1549,-0.70407,-1,-1
1767741949397,934164,934165,934164,1,934164,696,1115,-0.231364,-1,-1
1767741961397,934164,934165,934164,1,934165,1982,539,0.572392,-1,-1
1767741973397,934372,934373,934372,1,934372,712,926,-0.130647,-1,-1
1767741985398,934372,934373,934372,1,934372,877,913,-0.0201117,-1,-1
1767741997798,934372,934373,934372,1,934373,1628,952,0.262016,-1,-1
1767742010397,934372,934373,934372,1,934373,1630,823,0.328985,-1,-1
1767742022397,934372,934373,934372,1,934373,940,728,0.127098,-1,-1
1767742034397,934499,934500,934499,1,934500,1245,436,0.481261,-1,-1
1767742046397,934607,934608,934607,1,934607,575,898,-0.21928,-1,-1
1767742058397,935002,935067,935034,65,935053,1255,333,0.580605,-1,-1
1767742070398,935186,935187,935186,1,935187,894,782,0.0668258,-1,-1
1767742082397,934999,935000,934999,1,935000,1042,762,0.155211,-1,-1
